date,tsm_usd,twse_twd,usdtwd,twse_usd_per_adr,premium,premium_ma60
2000-05-16,19.7129,74.8763,,,,
2000-05-17,18.7425,79.6344,,,,
2000-05-18,18.3482,81.6381,,,,
2000-05-19,18.1056,81.137,,,,
2000-05-22,17.4687,79.1338,,,,
2000-05-23,16.8318,76.6294,,,,
2000-05-24,16.013,74.3756,,,,
2000-05-25,16.0433,72.8731,,,,
2000-05-26,15.831,72.8731,,,,
2000-05-30,17.7416,72.8731,,,,
2000-05-31,17.1351,78.6326,,,,
2000-06-01,17.772,76.6294,,,,
2000-06-02,18.1359,77.6312,,,,
2000-06-05,18.2269,79.1338,,,,
2000-06-06,17.59,79.1338,,,,
2000-06-07,18.1966,80.6363,,,,
2000-06-08,18.4695,78.6326,,,,
2000-06-09,19.7736,79.1338,,,,
2000-06-12,18.5605,78.6326,,,,
2000-06-13,18.3179,77.6312,,,,
2000-06-14,18.4998,77.1301,,,,
2000-06-15,17.8023,75.1269,,,,
2000-06-16,17.499,75.1269,,,,
2000-06-19,18.6818,74.125,,,,
2000-06-20,18.6515,74.3756,,,,
2000-06-21,18.1966,73.6243,,,,
2000-06-22,17.9539,74.6262,,,,
2000-06-23,17.863,73.1236,,,,
2000-06-26,17.9843,70.8699,,,,
2000-06-27,18.1966,70.8699,,,,
2000-06-28,18.4392,72.1218,,,,
2000-06-29,18.0753,71.3705,,,,
2000-06-30,18.7121,73.1236,,,,
2000-07-03,18.8031,71.8712,,,,
2000-07-05,17.772,74.6262,,,,
2000-07-06,18.1359,72.6225,,,,
2000-07-07,17.8023,71.1199,,,,
2000-07-10,16.9835,71.8712,,,,
2000-07-11,17.772,72.1218,,,,
2000-07-12,17.4384,71.8712,,,,
2000-07-13,17.1351,72.6225,,,,
2000-07-14,17.59,73.1236,,,,
2000-07-17,17.7113,71.8712,,,,
2000-07-18,17.1958,71.1199,,,,
2000-07-19,17.1654,71.1199,,,,
2000-07-20,16.4679,67.6142,,,,
2000-07-21,15.4974,65.1098,,,,
2000-07-24,14.7392,63.3572,,,,
2000-07-25,14.9818,62.8561,,,,
2000-07-26,15.0425,65.1098,,,,
2000-07-27,13.5261,64.6092,,,,
2000-07-28,13.7081,63.8579,,,,
2000-07-31,14.7392,63.6073,,,,
2000-08-01,14.3753,63.1066,,,,
2000-08-02,14.4663,62.6059,,,,
2000-08-03,14.1933,61.1034,,,,
2000-08-04,14.5269,62.8561,,,,
2000-08-07,14.4966,61.6041,,,,
2000-08-08,14.5269,62.8561,,,,
2000-08-09,14.5573,65.1098,,,,
2000-08-10,14.2236,66.6124,,,,
2000-08-11,15.1638,65.611,,,,
2000-08-14,15.4368,65.1098,,,,
2000-08-15,15.4064,65.3604,,,,
2000-08-16,16.4982,67.6142,,,,
2000-08-17,17.2261,69.1167,,,,
2000-08-18,17.7113,69.868,,,,
2000-08-21,17.6507,69.1167,,,,
2000-08-22,16.9835,68.6161,,,,
2000-08-23,17.408,68.6161,,,,
2000-08-24,18.1966,69.868,,,,
2000-08-25,17.3474,70.3687,,,,
2000-08-28,17.7113,69.1167,,,,
2000-08-29,17.59,68.6161,,,,
2000-08-30,16.6802,67.6142,,,,
2000-08-31,16.9835,67.3636,,,,
2000-09-01,15.8007,65.1098,,,,
2000-09-05,15.8007,67.1135,,,,
2000-09-06,15.0122,65.611,,,,
2000-09-07,15.0728,62.8561,,,,
2000-09-08,14.3753,62.3554,,,,
2000-09-11,14.4966,62.1048,,,,
2000-09-12,13.89,62.1048,,,,
2000-09-13,13.8597,62.1048,,,,
2000-09-14,13.8294,60.1016,,,,
2000-09-15,13.2532,61.3535,,,,
2000-09-18,12.4343,60.6023,,,,
2000-09-19,12.9196,56.5958,,,,
2000-09-20,12.9499,57.5972,,,,
2000-09-21,10.9179,57.3466,,,,
2000-09-22,12.4343,53.3402,,,,
2000-09-25,12.2827,53.3402,,,,
2000-09-26,11.4638,56.8459,,,,
2000-09-27,11.1606,55.594,,,,
2000-09-28,10.6753,53.3402,,,,
2000-09-29,9.9171,52.0878,,,,
2000-10-02,9.4319,49.3333,,,,
2000-10-03,9.6139,51.5871,,,,
2000-10-04,9.9475,49.834,,,,
2000-10-05,10.5843,51.5871,,,,
2000-10-06,11.0392,55.0928,,,,
2000-10-09,10.4024,53.8409,,,,
2000-10-10,10.0081,53.8409,,,,
2000-10-11,9.7352,52.0878,,,,
2000-10-12,9.1589,48.582,,,,
2000-10-13,10.1901,48.3315,,,,
2000-10-16,9.3106,48.3315,,,,
2000-10-17,8.977,47.0795,,,,
2000-10-18,8.4007,43.8239,,,,
2000-10-19,10.3114,40.8188,,,,
